,,,,Unad,Unad,Unad,Unad,Adju,Adju,Adju,Adju,
Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A,Year
Orlando Magic,35,47,0.427,-1.62,105.73,107.47,-1.74,-1.68,105.89,107.7,-1.8,2016
Memphis Grizzlies,42,40,0.512,-2.24,106.36,108.69,-2.33,-2.13,106.23,108.45,-2.22,2016
Sacramento Kings,33,49,0.402,-2.48,106.57,109.07,-2.5,-2.31,106.44,108.77,-2.33,2016
Denver Nuggets,33,49,0.402,-3.1,106.22,109.47,-3.25,-2.81,106.24,109.17,-2.94,2016
New York Knicks,32,50,0.39,-2.73,105.41,108.43,-3.03,-2.73,105.55,108.58,-3.02,2016
New Orleans Pelicans,30,52,0.366,-3.79,106.27,110.17,-3.89,-3.55,106.32,109.96,-3.63,2016
Minnesota Timberwolves,29,53,0.354,-3.54,107.17,111.02,-3.86,-3.38,107.17,110.86,-3.68,2016
Milwaukee Bucks,33,49,0.402,-4.18,105.06,109.65,-4.59,-3.98,105.32,109.69,-4.37,2016
Phoenix Suns,23,59,0.28,-6.66,102.94,109.8,-6.86,-6.32,102.95,109.45,-6.5,2016
Brooklyn Nets,21,61,0.256,-7.35,103.74,111.6,-7.86,-7.11,104.06,111.66,-7.61,2016
Los Angeles Lakers,17,65,0.207,-9.56,102.29,112.4,-10.12,-8.92,102.49,111.92,-9.43,2016
Philadelphia 76ers,10,72,0.122,-10.23,99.65,110.15,-10.5,-9.92,99.83,110.01,-10.18,2016
Golden State Warriors,67,15,0.817,10.1,112.18,101.86,10.32,10.01,111.9,101.67,10.23,2015
Los Angeles Clippers,56,26,0.683,6.59,113.21,106.22,6.98,6.8,113.35,106.14,7.21,2015
San Antonio Spurs,55,27,0.671,6.2,109.25,102.61,6.64,6.34,109.09,102.3,6.79,2015
Atlanta Hawks,60,22,0.732,5.43,110,103.98,6.02,4.75,109.85,104.56,5.29,2015
Portland Trail Blazers,51,31,0.622,4.23,108.81,104.3,4.5,4.41,108.72,104.03,4.69,2015
Cleveland Cavaliers,53,29,0.646,4.48,111.93,107.13,4.8,4.08,111.97,107.58,4.39,2015
Houston Rockets,56,26,0.683,3.44,107.87,104.26,3.61,3.82,107.86,103.85,4.01,2015
Memphis Grizzlies,55,27,0.671,3.24,106.44,102.9,3.55,3.62,106.35,102.41,3.94,2015
Dallas Mavericks,50,32,0.61,2.9,110.3,107.14,3.16,3.36,110.51,106.87,3.64,2015
Chicago Bulls,50,32,0.61,3,108.48,105.11,3.37,2.54,108.42,105.53,2.88,2015
Toronto Raptors,49,33,0.598,3.07,112.06,108.69,3.37,2.45,112.07,109.35,2.72,2015
Oklahoma City Thunder,45,37,0.549,2.18,108.41,106.18,2.24,2.47,108.42,105.89,2.54,2015
New Orleans Pelicans,45,37,0.549,0.79,108.95,108.15,0.8,1.13,109.04,107.88,1.16,2015
Utah Jazz,38,44,0.463,0.22,106.19,105.91,0.28,0.71,106.23,105.43,0.79,2015
Washington Wizards,46,36,0.561,0.72,104.56,103.73,0.83,0.17,104.38,104.13,0.25,2015
Indiana Pacers,38,44,0.463,0.28,104.44,104.04,0.4,-0.22,104.34,104.48,-0.14,2015
Milwaukee Bucks,41,41,0.5,0.43,103.57,103.18,0.38,-0.09,103.33,103.49,-0.16,2015
Phoenix Suns,39,43,0.476,-0.9,105.93,106.85,-0.92,-0.38,105.97,106.34,-0.37,2015
Boston Celtics,40,42,0.488,0.16,105.32,105.17,0.15,-0.4,105.14,105.58,-0.44,2015
Detroit Pistons,32,50,0.39,-1,106.22,107.35,-1.14,-1.39,106.23,107.77,-1.54,2015
Denver Nuggets,30,52,0.366,-3.55,105.11,108.68,-3.57,-3.07,105.16,108.22,-3.07,2015
Sacramento Kings,29,53,0.354,-3.71,106.01,109.95,-3.94,-3.07,106.24,109.51,-3.27,2015
Brooklyn Nets,38,44,0.463,-2.88,105.15,108.19,-3.05,-3.13,105.17,108.48,-3.31,2015
Miami Heat,37,45,0.451,-2.6,104.86,107.91,-3.05,-2.92,104.99,108.36,-3.37,2015
Charlotte Hornets,33,49,0.402,-3.17,100.92,104.44,-3.52,-3.44,100.75,104.55,-3.79,2015
Orlando Magic,25,57,0.305,-5.72,102.26,108.34,-6.07,-5.87,102.3,108.54,-6.23,2015
Los Angeles Lakers,21,61,0.256,-6.84,104.07,111.44,-7.36,-6.17,104.26,110.9,-6.65,2015
Minnesota Timberwolves,16,66,0.195,-8.79,103.63,112.98,-9.36,-8,103.98,112.5,-8.52,2015
Philadelphia 76ers,18,64,0.22,-8.98,96.4,105.7,-9.31,-9.04,96.3,105.67,-9.38,2015
New York Knicks,17,65,0.207,-9.32,100.89,111.01,-10.13,-9.49,101.06,111.36,-10.3,2015
San Antonio Spurs,62,20,0.756,7.72,111.09,102.93,8.16,7.99,110.98,102.53,8.45,2014
Los Angeles Clippers,57,25,0.695,6.98,112.89,105.64,7.25,7.27,112.88,105.33,7.56,2014
Oklahoma City Thunder,59,23,0.72,6.34,111.32,104.6,6.71,6.65,111.29,104.26,7.04,2014
Golden State Warriors,51,31,0.622,4.8,108.05,103.07,4.98,5.15,107.93,102.59,5.34,2014
Houston Rockets,54,28,0.659,4.56,111.72,107.07,4.65,5.06,111.82,106.65,5.17,2014
Miami Heat,54,28,0.659,4.76,112.13,106.75,5.38,4.15,112.15,107.42,4.73,2014
Portland Trail Blazers,54,28,0.659,3.99,112.03,107.8,4.22,4.43,112.17,107.49,4.68,2014
Indiana Pacers,56,26,0.683,4.4,104.7,100.05,4.65,3.63,104.25,100.42,3.83,2014
Dallas Mavericks,49,33,0.598,2.4,111.95,109.24,2.71,2.9,112.16,108.95,3.21,2014
Minnesota Timberwolves,40,42,0.488,2.67,109.41,106.7,2.7,3.1,109.4,106.25,3.15,2014
Phoenix Suns,48,34,0.585,2.63,110.26,107.54,2.72,3.02,110.35,107.23,3.12,2014
Toronto Raptors,48,34,0.585,3.24,109.77,106.15,3.62,2.55,109.65,106.76,2.89,2014
Memphis Grizzlies,50,32,0.61,1.57,107.12,105.47,1.66,2.17,107.18,104.89,2.29,2014
Chicago Bulls,48,34,0.585,1.85,103.49,101.4,2.09,1.19,103.12,101.72,1.4,2014
Washington Wizards,44,38,0.537,1.27,106.75,105.45,1.3,0.47,106.46,105.99,0.47,2014
Atlanta Hawks,38,44,0.463,-0.48,106.71,107.26,-0.56,-0.88,106.74,107.71,-0.97,2014
Charlotte Bobcats,43,39,0.524,-0.22,104.31,104.61,-0.29,-0.89,104.04,105.03,-0.99,2014
New York Knicks,37,45,0.451,-0.79,109.27,109.97,-0.7,-1.4,109.25,110.58,-1.33,2014
Denver Nuggets,36,46,0.439,-2.15,106.59,108.79,-2.2,-1.4,106.75,108.17,-1.43,2014
Brooklyn Nets,44,38,0.537,-1,107.42,108.63,-1.21,-1.58,107.36,109.16,-1.8,2014
New Orleans Pelicans,34,48,0.415,-2.71,107.98,110.9,-2.92,-1.98,108.18,110.35,-2.16,2014
Sacramento Kings,28,54,0.341,-2.9,106.22,109.46,-3.24,-2.08,106.39,108.77,-2.37,2014
Cleveland Cavaliers,33,49,0.402,-3.29,104.95,108.52,-3.56,-3.86,104.92,109.07,-4.16,2014
Detroit Pistons,29,53,0.354,-3.66,106.6,110.51,-3.92,-4.14,106.66,111.07,-4.41,2014
Los Angeles Lakers,27,55,0.329,-6.29,104.89,111.01,-6.13,-5.33,105.23,110.38,-5.15,2014
Boston Celtics,25,57,0.305,-4.46,103.82,108.63,-4.81,-4.98,103.69,109.03,-5.34,2014
Orlando Magic,23,59,0.28,-5.44,102.14,108.1,-5.96,-5.88,102.06,108.48,-6.41,2014
Utah Jazz,25,57,0.305,-7.17,104.15,112,-7.85,-6.27,104.43,111.32,-6.89,2014
Milwaukee Bucks,15,67,0.183,-8.18,103.67,112.67,-9,-8.41,103.88,113.1,-9.23,2014
Philadelphia 76ers,19,63,0.232,-10.45,100.09,110.53,-10.44,-10.66,100.11,110.79,-10.68,2014
